Título en español;Título original;Fecha de estreno;$ Inversión ;$ Recaudación 
WALL·E;WALL-E;2008;180000000;"
262771918"
La sirenita 3: los comienzos de Ariel / El Origen de la sirenita;The Little Mermaid: Ariel's Beginning;2008;;
Campanilla / Tinker Bell;Tinker Bell;2008;50000000;9208064
Snow Buddies - Cachorros en la nieve / Buddies en la nieve;Snow Buddies;2008;;
Una Chihuahua de Beverly Hills/ Un Chihuahua de Beverly Hills;Beverly Hills Chihuahua;2008;"
20000000";110932022
Cuentos que no son cuentos / Más allá de los Sueños;Bedtime Stories;2008;"
80000000";128039679
Morning Light;Morning Light;2008;;" 275776
"
High School Musical 3: Fin de Curso/ High School Musical 3: La Gradaución;High School Musical 3: Senior Year;2008;"
11000000";"
106308538"
Roadside Romeo;Roadside Romeo;2008;;
Bolt: Un Perro fuera de serie;Bolt;2008;150000000;"
133702498"
Jonas Brothers en concierto 3D;Jonas Brothers: The 3D Concert Experience;2009;;231869605
La Montaña Embrujada;Race to Witch Mountain;2009;"
50000000";"
75501997"
Hannah Montana: La película;Hannah Montana: The Movie;2009;"
30000000";"
89443640"
La Tierra;Earth;2009;"
47000000";"
35981010"
Los muchachos: la historia de los hermanos Sherman;The Boys: The Sherman Brother's Story;2009;;55513
Trail of the Panda;Trail of the Panda;2009;;68697
Up: Una Aventura de Altura;Up;2009;"
175000000";329336681
Kika Superbruja y el Libro de Hechizos;Hexe Lilli;2009;;16276155
Fuerza G / G-Force: Licencia para espiar;G-Force;2009;150000000;"
134246932"
Walt y el grupo;Walt & El Grupo;2009;;20521
Space Buddies;Space Buddies;2009;;
The Book of Masters;The Book of Masters;2009;"
8000000";11284598
Los Fantasmas de Scrooge / Cuento de navidad;A Christmas Carol;2009;"
175000000";"
154927105"
Par de colmilludos / Dos canguros muy maduros;Old Dogs;2009;"
35000000";"
55503929"
Tinker Bell y el tesoro perdido / Campanilla y el tesoro perdido;Tinker Bell and the Lost Treasure;2009;30000000;8582265
La princesa y el sapo / Tiana y el sapo;The Princess and the Frog;2009;105000000;116316457
Tinker Bell: Hadas al rescate / Campanilla y el gran rescate;Tinker Bell and the Great Fairy Rescue;2010;35000000;10872752
Alicia en el país de las maravillas;Alice in Wonderland;2010;200000000.0;"
357063499"
Océanos;Oceans;2010;"
80000000";20751600
